Nome do Arquivo,Possivel raça,Cor aproximada,Porte aproximado,Peso Aproximado,Texto da imagem,URL do post,Texto do post
2024-05-05_21-59-41_UTC,gato,cinza e tigrado,médio,indefinido,"Alberto Linck, Vicentina
Tel: (53) 991 16 20 39
Tammy, macho, manso, bem peludo - Gumball, macho, manso",https://www.instagram.com/p/C6mk3_3xP3D,🚨 PROCURA-SE NA VICENTINA/ SÃO LEOPOLDO 🚨
2024-05-05_22-00-33_UTC,gato,tigrado,médio,3 a 5 kg,"Alberto Link, Vicentina
Tel: (53) 99116 20 39
Gumball, manso",https://www.instagram.com/p/C6mk-SOxjIr,🚨 PROCURA-SE NA VICENTINA EM SÃO LEOPOLDO 🚨
2024-05-05_22-00-50_UTC,gato,cinza,médio,3-5 kg,"Bolinha, arisca
Alberto Link, Vicentina
Tel: (53) 99116 20 39",https://www.instagram.com/p/C6mlAWbxYKP,🚨 PROCURA-SE NA VICENTINA EM SÃO LEOPOLDO 🚨
2024-05-05_22-02-17_UTC_1,gato,laranja e branco,médio,3 a 5 kg,,https://www.instagram.com/p/,
2024-05-05_22-02-17_UTC_2,gato,laranja/amarelo,pequeno a médio,3 a 5 kg,,https://www.instagram.com/p/,
2024-05-05_22-02-17_UTC_3,gato,amarelo tigrado,médio,3 a 5 kg,,https://www.instagram.com/p/,
2024-05-05_22-08-16_UTC,Não é possível determinar com precisão a raça do cão sem informações genéticas adicionais; pode ser um cão de raça mista.,Caramelo com partes em branco,Médio,"Não é possível estimar precisamente sem mais informações, mas cães de porte médio geralmente pesam entre 10 a 25 kg",,https://www.instagram.com/p/C6ml20fxlX5,🚨 PROCURA-SE O PUDIM NA RIO BRANCO EM CANOAS 🚨
2024-05-05_22-08-49_UTC,Indeterminado,Marrom claro e branco,Médio,Indeterminado,,https://www.instagram.com/p/C6ml63KxgjM,🚨 PROCURA-SE O TOBY NA RIO BRANCO - CANOAS 🚨
2024-05-05_22-10-04_UTC,gato,Branco com manchas marrons e pretas,médio,3 a 5 kg,"Samsung Quad Camera
Fotog. c/ meu Galaxy A13 josi🚀",https://www.instagram.com/p/C6mmD9ex_67,PROCURA-SE O CHICO EM NOVO ESTEIO 🚨 RUA CARMEN MIRANDA 🚨
2024-05-06_01-49-58_UTC,gato,Um gato preto e branco e outro amarelo,Médio,Indeterminado,,https://www.instagram.com/p/C6m_OqkgixG,"🚨 PROCURA -SE EM NOVO ESTEIO 🚨 a frajola é Pudim e a amarela com branca se chama Kiara! 

São da rua Pablo Neruda 
contato com a dona: (51)997178148 Eduarda"
2024-05-06_01-53-51_UTC,Mestiço,Marrom com preto,Médio,Indeterminado,"PROCURA-SE FOFA -> Elas são da índio sepé, em frente a rua clube de mães/ santo operário <- FLOR",https://www.instagram.com/p/C6m_q_oAjV0,"🚨 PROCURA-SE EM CANOAS, BAIRRO HARMONIA 🚨 FOFA E FLOR 🚨"
2024-05-06_01-55-56_UTC_1,Pastor Alemão,Marrom com preto,Grande,30 a 40 kg,,https://www.instagram.com/p/,
2024-05-06_01-55-56_UTC_2,Cão de raça misturada,Marrom com tons de preto e dourado,Médio,20-30 kg,,https://www.instagram.com/p/,
2024-05-06_01-56-19_UTC,Indefinida,Preto com branco,Grande,Indefinido,,https://www.instagram.com/p/C6m_9KAg0Q-,"🚨 PROCURA-SE EM CANOAS, BAIRRO RIO BRANCO 🚨"
2024-05-06_02-06-48_UTC,Indeterminada,Preto e marrom com algumas manchas em branco,Pequeno,Indeterminado,"Minha cadelinha fugiu no bairro Harmonia Ela deve está nas redondezas, atende pelo nome de MINIE",https://www.instagram.com/p/C6nBJ8ugDV5,"🚨 PROCURA-SE NO HARMONIA, CANOAS 🚨
“Essa mine tem 2 pontos na barriga da castração, Harmonia perto da Brasil“"
2024-05-06_02-14-40_UTC,gato,branco com algumas áreas em cinza claro,pequeno a médio,"não possível determinar com precisão sem mais informações, mas geralmente entre 3 a 5 kg para um gato adulto dessa estatura",,https://www.instagram.com/p/C6nCDfGANOb,"🚨PROCURA-SE EM NOVO ESTEIO 🚨 Ela atende pelo nome de Despina, fugiu nas enchentes de novo esteio, tem o rabo curtinho e quebrado, telefones para contato: 51 991666372/ 51 982215984"
2024-05-06_02-16-59_UTC,Indeterminado,Branco e marrom,Pequeno a médio,Indeterminado,,https://www.instagram.com/p/C6nCUezgZAI,"Nome do pet: Montanha
Sexo: Macho
Cor: Caramelo/branco 
Porte: Grande
Cidade/bairro: Canoas Matias velho 
Nome do tutor: Liane
Contato: 51 986473153"
2024-05-06_02-20-08_UTC,gato,Cinzento atigrado,Pequeno a médio,3 a 5 kg,SATURNO NOVO LESTE 10 ULTIMA VEZ VISTO: 03/04/24,https://www.instagram.com/p/C6nCrglAex4,🚨 PROCURA-SE EM NOVO ESTEIO 🚨
2024-05-06_02-21-49_UTC,gato,"branco, cinza e um pouco de bege",pequeno,entre 3 e 5 kg,,https://www.instagram.com/p/C6nC34EgY_1,"🚨 PROCURA-SE NA MATHIAS VELHO, CANOAS” 
Tô procurando minha gata fugiu na enchente na mathias ela tá com essa coleira do capitão América por favor ajudem compartilhado“"
2024-05-06_02-27-57_UTC,Pastor Alemão,Preto e marrom,Grande,30 a 40 kg,,https://www.instagram.com/p/C6nDkw7gQI5,🚨 PROCURA-SE NA FÁTIMA EM CANOAS 🚨 KYRA
2024-05-06_02-32-00_UTC,Não é possível determinar com precisão a raça do cão a partir da imagem.,Marrom com manchas pretas,Médio,Não é possível estimar o peso exato a partir da imagem.,"PROCURA-SE LOKI

RESGATADO NA ENCHENTE E SE PERDEU AO CHEGAR NO ABRIGO, NA RUA BRASIL, CENTRO DE CANOAS.

Nosso amigo Everton e seu cachorrinho Loki foram resgatados",https://www.instagram.com/p/C6nEChpAPCO,🚨 PROCURA-SE EM CANOAS 🚨
2024-05-06_02-33-22_UTC,Indeterminada,Preto com branco e detalhes em marrom,Médio,Indeterminado,o maior e o rex e menor e o bethoven,https://www.instagram.com/p/C6nEMgmAOT2,🚨 PROCURA- SE EM CANOAS 🚨
2024-05-06_02-35-48_UTC,Pastor Alemão,Preto e Dourado,Grande,Entre 30 a 40 kg,"AJUDA!!! PRI E ZUCKO Dois pastores alemães perdidos na região próxima a ilha da pintada. Família foi buscá-los de barco e não estavam mais no local. Quem souber se estão em algum abrigo ou encontrá-los, whatsapp para +55 51 9549-1149 Compartilhe!!!",https://www.instagram.com/p/C6nEeTVA0yv,🚨 PROCURA-SE NA ILHA DA PINTADA 🚨 @sosanimaisdailha @deisefalci @paixaode4patas
2024-05-06_02-38-00_UTC,gato,branco com manchas cinza e preto,indeterminado na imagem,indeterminado na imagem,,https://www.instagram.com/p/C6nEudggtuB,🚨 PROCURA-SE EM CANOAS 🚨 Na Jorge amado 27 bairro harmonia
2024-05-06_02-40-56_UTC,Indefinida,"[{'Stuart': 'Marrom e branco'}, {'Nina': 'Amarelo claro'}, {'Shrek': 'Branco'}]",Médio,Indeterminado,VICENTINA - SÃO LEOPOLDO 3 DOGS RESGATADOS! 😍😭🙏❤️ FALTAM 3! STUART NINA SHREK FALTA FALTA FALTA,https://www.instagram.com/p/C6nFD8qgxjQ,🚨 PROCURA-SE ESSES TRÊS CÃES DO BAIRRO VICENTINA - SÃO LEOPOLDO 🚨
2024-05-06_02-45-57_UTC,cão,"branco, bege e marrom",médio,não é possível determinar,"Por favor pessoal!! Estão desaparecidos, estavam no bairro Sarandi, na Av Toledo Piza!!! Benji, Charlotte e Lacto por favor qualquer informação 51 998812785 51 985377407 e 51 999796198",https://www.instagram.com/p/C6nFosZgy1S,"🚨 PROCURA-SE BAIRRO SARANDI, POA 🚨"
2024-05-06_02-46-33_UTC,Indeterminada,Um cão é dourado/amarelo e o outro é preto,Médio,Indeterminado,Procura-se BELINHA E PIPOCA Tutor Marco: +55 51 99512-7168,https://www.instagram.com/p/C6nFtFGgCI9,"🚨 PROCURA-SE BAIRRO SARANDI, POA 🚨"
2024-05-06_03-03-08_UTC,Indeterminada,Marrom escuro,Pequeno a médio,Indeterminado,,https://www.instagram.com/p/,
2024-05-06_03-03-14_UTC,indeterminada,marrom com preto,médio,indeterminado,,https://www.instagram.com/p/,
2024-05-06_03-03-18_UTC,"Não é possível determinar a raça exata sem informações adicionais, mas parece ser um cão de raça mista",Branco com manchas marrons,Médio,Não é possível determinar o peso exato pela imagem,,https://www.instagram.com/p/,
2024-05-06_03-03-25_UTC,Não é possível determinar com precisão a raça do cão apenas pela imagem,Preto,Médio,Impossível determinar o peso exato pela imagem,,https://www.instagram.com/p/,
2024-05-06_03-03-29_UTC,Vira-lata,Creme com partes brancas,Pequeno a médio,Indeterminado,,https://www.instagram.com/p/,
2024-05-06_03-03-34_UTC,Indeterminada,Preto e marrom com alguns tons de bege,Médio,Indeterminado,,https://www.instagram.com/p/,
2024-05-06_03-03-43_UTC,Não é possível determinar com precisão a raça com estas informações,Preto com manchas acinzentadas,Médio,Não é possível estimar sem informações adicionais,,https://www.instagram.com/p/,
2024-05-06_03-03-48_UTC,Pit Bull Terrier Americano,Branco com manchas pretas,Médio,30 a 35 kg,,https://www.instagram.com/p/,
2024-05-06_03-03-58_UTC,Labrador Retriever,Preto,Médio a grande,25 a 35 kg,,https://www.instagram.com/p/,
2024-05-06_03-04-05_UTC,Mestiço,Bege com manchas cinza,Pequeno,5 a 10 kg,,https://www.instagram.com/p/,
2024-05-06_03-04-11_UTC,cão,marrom com partes pretas,médio,15-25 kg,,https://www.instagram.com/p/,
2024-05-06_03-04-23_UTC,Indeterminado,Cinzento,Médio,Indeterminado,,https://www.instagram.com/p/,
2024-05-06_03-04-28_UTC,Não é possível determinar com precisão a raça do cão apenas pela imagem,Marrom,Médio,Não é possível determinar com precisão o peso apenas pela imagem,,https://www.instagram.com/p/,
2024-05-06_03-04-35_UTC,SRD (Sem Raça Definida),Caramelo com preto no focinho,Médio,"Não é possível determinar com precisão sem uma avaliação física, mas poderia ser aproximadamente entre 15 a 25 kg baseando-se no porte médio.",,https://www.instagram.com/p/,
2024-05-06_03-05-28_UTC,,,,,"👉👉 todos estão na frente da Escola Vasco da Gama na São Luiz, em CANOAS",https://www.instagram.com/p/,
2024-05-06_03-07-31_UTC,Labrador Retriever,Amarelo claro,Grande,25-36 kg,PROCURA-SE NA RIO BRANCO,https://www.instagram.com/p/,
2024-05-06_03-07-53_UTC,Labrador Retriever,Caramelo,Médio a Grande,25-36 kg,,https://www.instagram.com/p/C6nIJUXga3H,"🚨 PROCURA-SE NA RIO BRANCO, CANOAS 🚨"
2024-05-06_03-11-18_UTC,gato,"['Laranja e branco', 'Branco e cinza', 'Preto']","['Médio', 'Médio', 'Médio']","['3 a 5 kg', '3 a 5 kg', '3 a 5 kg']","PROCURA-SE NA MATHIAS VELHO, CANOAS Moved to Primary provavelmente resgatadas na Mathias Velho rua encantado 725",https://www.instagram.com/p/,
2024-05-06_03-11-55_UTC,,,,,Estão divulgando as pessoas que estão abrigadas sem contato com familiares! @tosalvocachoeirinha @tosalvocanoas @tosalvoquaiba @tosalvopoa @tosalvosao_leo @tosalvoesteio Animais: @tosalvoanimais @acheseupetrs @caesresgatadoscanoas,https://www.instagram.com/p/,
2024-05-06_03-13-22_UTC,Cão - Raça indefinida,Variada,Médio,Indeterminado,"Maisena
Preta
Pessoal minha mãe foi resgata na madrugada de sábado na Mathias mas não conseguiu resgatar os nossos cachorros junto. Eles estão no segundo andar da casa, se alguém tiver alguma informação por favor me avise são cinco cachorros no total
Ursinha
Endereço: R. São Jerônimo, 504 - Mathias Velho
Telefone de contato: 51981380674
Zé
Alemão",https://www.instagram.com/p/,
2024-05-06_03-14-57_UTC,Indeterminada,"Vários (Marrom, Preto)",Médio,Indeterminado,"Maisena  Preta  Pessoal minha mãe foi resgata na madrugada de sábado na Mathias mas não conseguiu resgatar os nossos cachorros junto. Eles estão no segundo andar da casa, se alguém tiver alguma informação por favor me avise são cinco cachorros no total  Ursinha",https://www.instagram.com/p/C6nI9GcAyBr,"🚨 PROCURA-SE NA MATHIAS VELHO, CANOAS 🚨"
2024-05-06_03-15-13_UTC,Não especificado,Não pode ser determinada com precisão sem a imagem,Não pode ser determinado com precisão sem a imagem,Não pode ser determinado com precisão sem a imagem,"Ursinha
Zé
Alemão
nossos cachorros junto. Eles estão no segundo andar da casa, se alguém tiver alguma informação por favor me avise são cinco cachorros no total
Endereço: R. São Jerônimo, 504 - Mathias Velho
Telefone de contato: 51981380674",https://www.instagram.com/p/C6nI_B4A_GO,"🚨 PROCURA-SE NA MATHIAS VELHO, CANOAS 🚨"
2024-05-06_03-16-20_UTC,Rottweiler,Preto com marcações em marrom,Grande,35 a 60 kg,"CANOAS Estão na rua da figueira, nossa senhora das graças. Alguém deixou eles amarrados com ração e água. Os vizinhos colocaram coleiras, pois estavam na corda",https://www.instagram.com/p/,
2024-05-06_03-16-49_UTC,Não é possível determinar com precisão a raça do cão com base na imagem,Branca com manchas caramelo,Pequeno,"Não é possível determinar exatamente o peso sem uma avaliação física, mas cães de porte pequeno geralmente pesam entre 1 a 10 kg","Não sabemos se tem dono ou não. Meus primos estão fazendo lar temporário para ela. Ela é porte P, muito bem cuidada e dócil. 🙂",https://www.instagram.com/p/,
2024-05-06_03-17-39_UTC,Indefinida,"Creme, Branco",Pequeno,Indefinido,Procura-se Elas ficaram na Rua Manaus na Mathias Velho Jade Arlequina @meubichotasalvocanoas,https://www.instagram.com/p/,
2024-05-06_03-18-56_UTC,Chihuahua,Clara/Tom creme,Pequeno,1 a 3 kg,Procura-se Elas ficaram na Rua Manaus na Mathias Velho Jade Arlequina,https://www.instagram.com/p/C6nJaRYARiF,"🚨 PROCURA-SE NA MATHIAS VELHO, CANOAS 🚨"
2024-05-06_03-31-08_UTC,,,,,Estão divulgando as pessoas que estão abrigadas sem contato com familiares!!! @TOSALVOCACHOEIRINHA @TOSALVOCANOAS @TOSALVOGUARIBA @TOSALVOPÂO @TOSALVOSA0_LEO @TOSALVOESTEJ0 Animais: @TOSALVOANIMAIS @ACHESEUPETRS @CAESRESGATADOSCNOAS @ADOTAREENCONTRARPETS @DOGS_ENCHENTERS PROCUREM EM TODOS! e avisem quando encontrar 😢❤️,https://www.instagram.com/p/,
2024-05-06_03-32-18_UTC,cão,marrom,pequeno,não especificado,"CADÊ MEUS DONOS? RESGATADA DE ELDORADO 05/05 PELA MANHÃ PORTE P, SEM CASTRAÇÃO @PAIXAODE4PATAS @manu.biologia and @yuribohnenberger PROCURA SE OS DONOS! Resgatada de ELDORADO",https://www.instagram.com/p/,
2024-05-06_03-33-14_UTC,Cão,Marrom,Pequeno,Não é possível precisar,"CADÊ MEUS DONOS? RESGATADA DE ELDORADO 05/05 PELA MANHÃ PORTE P, SEM CASTRAÇÃO @PAIXAODE4PATAS",https://www.instagram.com/p/C6nLC54gJ4u,DONOS!!! PROCURA SE OS DONOS! RESGATADA DE ELDORADO 🚨🚨🚨
2024-05-06_03-39-02_UTC_1,Mestiço,Preto com branco e marrom,Médio,"Não é possível determinar com precisão sem avaliação direta, mas com base na aparência, pode-se estimar entre 15 a 25 kg para um cão de porte médio.",,https://www.instagram.com/p/,
2024-05-06_03-39-02_UTC_2,Jack Russell Terrier,Branco com manchas marrons,Pequeno,5 a 8 kg,,https://www.instagram.com/p/,
2024-05-06_03-39-02_UTC_3,Indeterminada,Preto,Médio,Indeterminado,,https://www.instagram.com/p/,
2024-05-06_03-39-02_UTC_4,Sem raça definida,Branco com manchas cinza ou preta,Médio,"Não é possível determinar exatamente, mas pode-se estimar entre 15 a 25 kg dependendo da raça e condição corporal",,https://www.instagram.com/p/,
2024-05-06_03-39-02_UTC_5,Mestiço,Preto e Marrom com manchas brancas,Médio,20 a 30 kg,,https://www.instagram.com/p/,
2024-05-06_03-39-02_UTC_6,cão,branco e preto,médio,15-25 kg,,https://www.instagram.com/p/,
2024-05-06_03-39-02_UTC_7,Não é possível determinar exatamente a raça,Preto e marrom,Médio,Não é possível determinar o peso pela imagem,,https://www.instagram.com/p/,
2024-05-06_03-39-02_UTC_8,Labrador Retriever,Areia,Médio a Grande,25-36 kg,,https://www.instagram.com/p/,
2024-05-06_03-39-02_UTC_9,Indeterminada,"{'Cão no primeiro plano': 'Cinza com partes brancas', 'Cão no segundo plano': 'Preto com partes cor de bronze'}","{'Cão no primeiro plano': 'Pequeno', 'Cão no segundo plano': 'Pequeno'}","{'Cão no primeiro plano': 'Indeterminado', 'Cão no segundo plano': 'Indeterminado'}",,https://www.instagram.com/p/,
2024-05-06_03-40-00_UTC_1,Não identificável,Preto e branco,Médio,15-25 kg,,https://www.instagram.com/p/,
2024-05-06_03-40-00_UTC_2,Indeterminada,Preto,Médio,Indeterminado,,https://www.instagram.com/p/,
2024-05-06_03-40-00_UTC_3,cão,cinza e branco,pequeno,indeterminado,,https://www.instagram.com/p/,
2024-05-06_03-40-00_UTC_4,Mestiço,Bege com partes pretas,Médio,20 a 30 kg,,https://www.instagram.com/p/,
2024-05-06_03-40-00_UTC_5,Mestiço,Preto e marrom,Médio,15 a 25 kg,,https://www.instagram.com/p/,
2024-05-06_03-40-00_UTC_6,cão de raça mista,preto e cinza,pequeno,5 a 10 kg,,https://www.instagram.com/p/,
2024-05-06_03-40-00_UTC_7,Mestiço,Branco com manchas marrons,Médio,20 a 30 kg,,https://www.instagram.com/p/,
2024-05-06_03-40-00_UTC_8,Não é possível determinar com precisão a raça a partir de uma imagem,"Preto, marrom e branco",Médio,Não é possível determinar com precisão o peso a partir de uma imagem,,https://www.instagram.com/p/,
2024-05-06_03-42-07_UTC,,,,,"atualização 6/05 as 00:38
TODOS ESTÃO NO
PRÉDIO 40 da ULBRA
CANOAS
👉👉👉👉
lembrar de clicar e
passar pro lado a
publicação",https://www.instagram.com/p/,
2024-05-06_03-42-15_UTC,Border Collie,Preto e branco,Médio,14 - 20 kg,tosalvoanimaais Todos estao no predio 40 Ulbra Canoas - ATUALIZAÇÃO DIA 06/05 as 00:38,https://www.instagram.com/p/,
2024-05-06_03-42-22_UTC,"Indefinido, possivelmente cães de raça mista","['Cão 1: Branco com manchas marrons', 'Cão 2: Preto com manchas brancas']","['Cão 1: Pequeno', 'Cão 2: Médio']","['Cão 1: 5-10 kg', 'Cão 2: 10-20 kg']",tosalvaoanimais Todos estao no predio 40 Ulbra Canoas - atualização dia 06/05 as 00:39 🚨,https://www.instagram.com/p/,
2024-05-06_03-43-45_UTC,,,,,TODOS ESTÃO NO PRÉDIO 40 da ULBRA CANOAS 👉👉👉👉👉 lembrar de clicar na publicação e arrastar pro lado,https://www.instagram.com/p/,
2024-05-06_03-45-48_UTC_1,American Staffordshire Terrier ou similar,Branco com manchas caramelo,Médio,20 a 30 kg,,https://www.instagram.com/p/,
2024-05-06_03-45-48_UTC_10,Shiba Inu,Marrom com algumas partes mais claras,Pequeno a médio,6 a 10 kg,,https://www.instagram.com/p/,
2024-05-06_03-45-48_UTC_11,Indeterminado,Bege com manchas brancas e pretas,Médio,Entre 20 e 30 kg,,https://www.instagram.com/p/,
2024-05-06_03-45-48_UTC_12,Indeterminada,Preto com manchas brancas,Médio,Indeterminado,,https://www.instagram.com/p/,
2024-05-06_03-45-48_UTC_13,Não é possível determinar com precisão a raça apenas pela imagem,Bege com nuances de branco,Médio,Não é possível determinar o peso exato apenas pela imagem,,https://www.instagram.com/p/,
2024-05-06_03-45-48_UTC_14,Mestiço,Marrom com branco,Médio,Entre 10 a 20 kg,,https://www.instagram.com/p/,
2024-05-06_03-45-48_UTC_15,American Staffordshire Terrier ou Pitbull Terrier,Cinza com partes brancas,Médio,25-30 kg,,https://www.instagram.com/p/,
2024-05-06_03-45-48_UTC_2,Mestiço,Marrom com preto e branco,Médio,20 a 30 kg,,https://www.instagram.com/p/,
2024-05-06_03-45-48_UTC_3,Não é possível determinar com precisão a raça do cão apenas visualmente,Branco com manchas marrons e pretas,Médio,Não é possível determinar com precisão o peso apenas pela imagem,,https://www.instagram.com/p/,
2024-05-06_03-45-48_UTC_4,Mistura de raças,Caramelo com branco,Médio,20-30 kg,,https://www.instagram.com/p/,
2024-05-06_03-45-48_UTC_5,Indeterminada,Branco e Preto com manchas,Pequeno,Indeterminado,,https://www.instagram.com/p/,
2024-05-06_03-45-48_UTC_6,cão,preto com branco,pequeno,indeterminado,,https://www.instagram.com/p/,
2024-05-06_03-45-48_UTC_7,Indeterminado,Preto com manchas marrons,Médio,Indeterminado,,https://www.instagram.com/p/,
2024-05-06_03-45-48_UTC_8,Indeterminada,Marrom com nuances de preto,Pequeno a médio,Indeterminado,,https://www.instagram.com/p/,
2024-05-06_03-45-48_UTC_9,Cão de raça mista,Preto com branco,Médio,Não é possível determinar sem mais informações,,https://www.instagram.com/p/,
2024-05-06_03-46-28_UTC_1,Chihuahua ou mix,Preto com marrom e um pouco de branco,Pequeno,1-3 kg,,https://www.instagram.com/p/,
2024-05-06_03-46-28_UTC_10,Mistura de raças,Preto com manchas marrom,Médio,Indeterminado,,https://www.instagram.com/p/,
2024-05-06_03-46-28_UTC_11,vira-lata ou sem raça definida,marrom com partes em preto,médio,15 a 25 kg,,https://www.instagram.com/p/,
2024-05-06_03-46-28_UTC_12,vira-lata,marrom com partes em bege,médio,15 a 20 kg,,https://www.instagram.com/p/,
2024-05-06_03-46-28_UTC_13,Não é possível determinar com precisão a raça somente pela imagem sem uma análise genética.,Preto e branco,Médio,Não é possível determinar o peso exato pela imagem. Estimativas podem variar amplamente dependendo da raça e condição física.,,https://www.instagram.com/p/,
2024-05-06_03-46-28_UTC_14,Mastim Napolitano,Branco com manchas pretas,Grande,50-70 kg,,https://www.instagram.com/p/,
2024-05-06_03-46-28_UTC_15,Indeterminado,Preto com partes em marrom ou cinza,Pequeno,5-10 kg,,https://www.instagram.com/p/,
2024-05-06_03-46-28_UTC_2,Não é possível determinar com precisão a raça do cão pela imagem,Preto com manchas marrom,Grande,Não é possível determinar com precisão o peso pela imagem,,https://www.instagram.com/p/,
2024-05-06_03-46-28_UTC_3,Mestiço,Dourado/Caramelo,Médio,15-25 kg,,https://www.instagram.com/p/,
2024-05-06_03-46-28_UTC_4,"['Mestiço ou Beagle para o cão branco e marrom', 'Mestiço para o cão preto e marrom']","['Branco e marrom', 'Preto e marrom']","['Médio', 'Médio']","['10-20 kg', '10-20 kg']",,https://www.instagram.com/p/,
2024-05-06_03-46-28_UTC_5,Indeterminada,Preto e branco,Médio,Indeterminado,,https://www.instagram.com/p/,
2024-05-06_03-46-28_UTC_6,Indefinido,Branco e preto,Médio,Indefinido,,https://www.instagram.com/p/,
2024-05-06_03-46-28_UTC_7,Vira-lata,Branca e preta,Médio,Indeterminado,,https://www.instagram.com/p/,
2024-05-06_03-46-28_UTC_8,Indeterminado,Bege e marrom,Médio,20 a 30 kg,,https://www.instagram.com/p/,
2024-05-06_03-46-28_UTC_9,Indeterminado,Branco com manchas marrons,Grande,Indeterminado,,https://www.instagram.com/p/,
2024-05-06_03-47-19_UTC_1,Vira-lata,Dourado,Médio,15-25 kg,,https://www.instagram.com/p/,
2024-05-06_03-47-19_UTC_10,Não é possível determinar a raça exata através da imagem,Branco com manchas pretas e marrons,Médio,Não é possível estimar o peso sem dados adicionais,,https://www.instagram.com/p/,
2024-05-06_03-47-19_UTC_11,Indeterminado,Dourado claro,Pequeno,Indeterminado,,https://www.instagram.com/p/,
2024-05-06_03-47-19_UTC_12,São Bernardo,Branco com manchas marrons,Grande,55-91 kg,,https://www.instagram.com/p/,
2024-05-06_03-47-19_UTC_13,Beagle,Marrom e branco,Médio,10 a 11 kg,,https://www.instagram.com/p/,
2024-05-06_03-47-19_UTC_14,Rottweiler,Preto e castanho,Grande,35 a 60 kg,,https://www.instagram.com/p/,
2024-05-06_03-47-19_UTC_15,Dachshund,Preto,Pequeno,8 a 12 kg,,https://www.instagram.com/p/,
